Side,Price,Quantity,Total
ASK,2685.370,71.01150000,190692.151755
ASK,2685.380,1.90320000,5110.815216
ASK,2685.390,0.40690000,1092.6851909999998
ASK,2685.400,1.48210000,3980.03134
ASK,2685.410,0.00690000,18.529328999999997
ASK,2685.420,0.91390000,2454.205338
ASK,2685.430,1.01000000,2712.2843
ASK,2685.450,1.86580000,5010.51261
ASK,2685.460,0.00380000,10.204748
ASK,2685.470,1.11330000,2989.7337509999998
ASK,2685.480,0.00390000,10.473372
ASK,2685.490,1.03380000,2776.2595619999997
ASK,2685.500,2.06950000,5557.64225
ASK,2685.510,0.56980000,1530.203598
ASK,2685.520,13.03100000,34995.01112
ASK,2685.560,0.00380000,10.205128
ASK,2685.570,0.04130000,110.91404100000001
ASK,2685.580,2.79280000,7500.287824
ASK,2685.590,2.85760000,7674.341984000001
ASK,2685.600,2.80700000,7538.4792
ASK,2685.640,6.30380000,16929.737431999998
ASK,2685.670,0.00190000,5.102773
ASK,2685.700,9.44510000,25366.70507
ASK,2685.710,0.03000000,80.5713
ASK,2685.730,4.53580000,12181.934134000001
ASK,2685.760,0.00380000,10.205888000000002
ASK,2685.780,20.23650000,54350.78697
ASK,2685.790,0.10120000,271.801948
ASK,2685.800,6.78290000,18217.51282
ASK,2685.810,2.65290000,7125.185348999999
ASK,2685.820,0.00450000,12.08619
ASK,2685.830,0.56170000,1508.6307109999998
ASK,2685.840,14.50440000,38956.497696000006
ASK,2685.850,1.00000000,2685.85
ASK,2685.860,1.85920000,4993.550912
ASK,2685.880,0.61830000,1660.679604
ASK,2685.910,0.05670000,152.29109699999998
ASK,2685.930,0.00190000,5.103267
ASK,2685.940,1.30310000,3500.048414
ASK,2685.950,20.07790000,53928.235505
ASK,2685.960,0.01300000,34.91748
ASK,2685.980,1.14090000,3064.434582
ASK,2686.000,43.36620000,116481.61319999999
ASK,2686.020,0.01000000,26.8602
ASK,2686.040,3.72220000,9997.978088
ASK,2686.050,14.50250000,38954.440125
ASK,2686.060,17.43360000,46827.695616
ASK,2686.110,1.87530000,5037.2620830000005
ASK,2686.120,14.50250000,38955.455299999994
ASK,2686.130,0.00280000,7.521164000000001
ASK,2686.140,0.00380000,10.207332
ASK,2686.170,10.36430000,27840.271731
ASK,2686.180,3.71040000,9966.802271999999
ASK,2686.190,16.09820000,43242.823857999996
ASK,2686.200,16.96710000,45577.02401999999
ASK,2686.260,7.44690000,20004.309594000002
ASK,2686.270,4.09510000,11000.544277
ASK,2686.290,0.19050000,511.738245
ASK,2686.310,14.90250000,40032.734775
ASK,2686.320,2.24450000,6029.44524
ASK,2686.330,9.69810000,26052.296973
ASK,2686.340,4.48530000,12049.040802
ASK,2686.350,0.01810000,48.622935000000005
ASK,2686.380,2.44780000,6575.720964
ASK,2686.400,1.49180000,4007.57152
ASK,2686.410,6.30000000,16924.382999999998
ASK,2686.420,0.35300000,948.30626
ASK,2686.440,1.46080000,3924.3515520000005
ASK,2686.450,11.63210000,31249.055044999997
ASK,2686.470,1.79500000,4822.21365
ASK,2686.480,4.24510000,11404.376248
ASK,2686.490,9.30240000,24990.804576
ASK,2686.500,0.74950000,2013.53175
ASK,2686.530,0.00380000,10.208814
