Side,Price,Quantity,Total
ASK,2708.0,1.3021999999999998,3526.357726
ASK,2707.0,26.438200000000002,71580.347617
ASK,2706.0,14.306199999999999,38719.651913
ASK,2705.0,11.8571,32077.644833
ASK,2704.0,14.883000000000001,40247.187666
ASK,2703.0,0.4788,1294.481139
ASK,2702.0,16.759,45293.05859
ASK,2701.0,114.29159999999999,308777.33271499997
ASK,2700.0,26.3866,71253.86130100001
ASK,2699.0,143.6975,387919.86495200003
ASK,2698.0,29.043599999999998,78369.724187
ASK,2697.0,41.525200000000005,112010.832275
ASK,2696.0,126.455,340947.312984
ASK,2695.0,43.9009,118323.64245900001
ASK,2694.0,83.89280000000001,226033.40000199998
ASK,2693.0,179.3683,483138.251621
ASK,2692.0,223.2612,601170.311095
ASK,2691.0,320.4634,862520.019269
ASK,2690.0,258.3329,695028.464111
ASK,2689.0,333.2952,896363.837742
ASK,2688.0,246.9119,663839.92616
ASK,2687.0,234.036,628964.975631
ASK,2686.0,373.9277,1004529.816343
ASK,2685.0,196.1634,526816.840799
BID,2685.0,30.6261,82236.27577200001
BID,2684.0,295.6573,793642.606603
BID,2683.0,265.0469,711248.3825320001
BID,2682.0,235.6908,632218.372152
BID,2681.0,274.1056,735027.577845
BID,2680.0,477.5145,1279909.441075
BID,2679.0,283.2509,758973.815871
BID,2678.0,198.4108,531449.596527
BID,2677.0,78.3025,209661.358129
BID,2676.0,254.6672,681660.026944
BID,2675.0,250.3337,669773.036523
BID,2674.0,19.023200000000003,50878.053502
BID,2673.0,39.1852,104764.317537
BID,2672.0,118.05330000000001,315494.88459000003
BID,2671.0,110.268,294595.82474999997
BID,2670.0,363.2549,969894.245352
BID,2669.0,1.0991,2934.300587
